,Calculation,Simulation
0,0.130566249000529,0.130066249000529
1,0.121835847107092,0.121235847107092
2,0.114091009676609,0.114791009676609
3,0.107216345414503,0.107716345414503
4,0.105891921062427,0.105291921062427
5,0.106296812239777,0.106896812239777
6,0.107639836889388,0.107039836889388
7,0.105895611309357,0.105295611309357
8,0.106830334297929,0.106430334297929
9,0.104947028197941,0.104347028197941
10,0.105478265874922,0.105978265874922
11,0.106457798137503,0.106857798137503
12,0.107936679130089,0.107236679130089
13,0.110595493590947,0.110195493590947
14,0.113586523428053,0.113986523428053
15,0.115521911065365,0.115921911065365
16,0.116733167377417,0.116133167377417
17,0.117860111753761,0.117260111753761
18,0.118334649355971,0.118934649355971
19,0.117860111753761,0.117460111753761
20,0.116733167377417,0.116333167377417
21,0.115521911065365,0.115921911065365
22,0.113586523428053,0.113986523428053
23,0.110595493590948,0.110995493590948
24,0.107936679130089,0.107236679130089
25,0.106457798137503,0.106057798137503
26,0.105478265874922,0.105978265874922
27,0.104947028197941,0.104247028197941
28,0.106830334297929,0.106430334297929
29,0.105895611309358,0.105395611309358
30,0.107639836889388,0.107239836889388
31,0.106296812239777,0.106896812239777
32,0.105891921062427,0.105391921062427
33,0.107216345414503,0.107916345414503
34,0.114091009676609,0.114991009676609
35,0.121835847107093,0.121035847107093
36,0.130566249000529,0.130966249000529
