,Calculation,Simulation
0,0.101905241050167,0.103905241050167
1,0.12187975946031,0.11987975946031
2,0.135392375543849,0.138392375543849
3,0.147290235643268,0.144290235643268
4,0.159146285534346,0.156146285534346
5,0.171685826526096,0.174685826526096
6,0.185381438354791,0.182381438354791
7,0.200636552097876,0.203636552097876
8,0.217856989447914,0.213856989447914
9,0.237482346498836,0.234482346498836
10,0.259992787716958,0.256992787716958
11,0.285883526099814,0.287883526099814
12,0.315577610947684,0.313577610947684
13,0.349217163766316,0.346217163766316
14,0.38623899086648,0.38923899086648
15,0.424657728607263,0.422657728607263
16,0.460224419182208,0.463224419182208
17,0.486320774458788,0.483320774458788
18,0.496045140568668,0.493045140568668
19,0.486320774458787,0.489320774458787
20,0.460224419182208,0.462224419182208
21,0.424657728607262,0.422657728607262
22,0.386238990866479,0.384238990866479
23,0.349217163766315,0.346217163766315
24,0.315577610947683,0.318577610947683
25,0.285883526099814,0.282883526099814
26,0.259992787716957,0.256992787716957
27,0.237482346498836,0.234482346498836
28,0.217856989447914,0.215856989447914
29,0.200636552097875,0.203636552097875
30,0.185381438354791,0.183381438354791
31,0.171685826526096,0.169685826526096
32,0.159146285534345,0.156146285534345
33,0.147290235643268,0.149290235643268
34,0.135392375543849,0.133392375543849
35,0.12187975946031,0.11887975946031
36,0.101905241050167,0.09995241050167
