,Calculation,Simulation
0,0.100179317094957,0.102179317094957
1,0.105615085826364,0.103615085826364
2,0.111644573860821,0.113644573860821
3,0.118364311431961,0.115364311431961
4,0.125890988453158,0.128890988453158
5,0.1343661629593,0.1373661629593
6,0.143961853000963,0.146961853000963
7,0.154886780461017,0.157886780461017
8,0.167392414528033,0.163392414528033
9,0.181776546300167,0.184776546300167
10,0.198379036677651,0.195379036677651
11,0.217557931247108,0.213557931247108
12,0.23962154433882,0.23562154433882
13,0.264670646471821,0.268670646471821
14,0.292279833970994,0.295279833970994
15,0.320960303354067,0.323960303354067
16,0.347529584708916,0.349529584708916
17,0.367032148832444,0.364032148832444
18,0.374300817802504,0.371300817802504
19,0.367032148832443,0.363032148832443
20,0.347529584708915,0.345529584708915
21,0.320960303354067,0.323960303354067
22,0.292279833970993,0.295279833970993
23,0.26467064647182,0.26767064647182
24,0.239621544338819,0.236621544338819
25,0.217557931247108,0.214557931247108
26,0.19837903667765,0.19537903667765
27,0.181776546300167,0.184776546300167
28,0.167392414528032,0.165392414528032
29,0.154886780461017,0.157886780461017
30,0.143961853000963,0.146961853000963
31,0.134366162959299,0.137366162959299
32,0.125890988453157,0.128890988453157
33,0.118364311431961,0.115364311431961
34,0.111644573860821,0.114644573860821
35,0.105615085826363,0.102615085826363
36,0.100179317094957,0.102279317094957
