,Calculation,Simulation
0,0.152873162373627,0.152073162373627
1,0.142651193400336,0.142051193400336
2,0.133583170085499,0.134283170085499
3,0.125533986823744,0.125033986823744
4,0.123983287921261,0.123083287921261
5,0.124457353732085,0.124957353732085
6,0.126029830745888,0.126929830745888
7,0.123987608637545,0.123087608637545
8,0.125082026684323,0.125982026684323
9,0.122876962500994,0.122076962500994
10,0.123498960791316,0.123998960791316
11,0.124645843663222,0.124045843663222
12,0.126377387732547,0.126977387732547
13,0.129490453918545,0.129990453918545
14,0.13299249363748,0.13209249363748
15,0.135258537357044,0.135958537357044
16,0.136676733746125,0.136076733746125
17,0.137996213718551,0.137096213718551
18,0.139844829411664,0.139044829411664
19,0.137996213718551,0.137096213718551
20,0.136676733746125,0.136076733746125
21,0.135258537357044,0.135958537357044
22,0.13299249363748,0.13290249363748
23,0.129490453918546,0.129990453918546
24,0.126377387732547,0.126977387732547
25,0.124645843663222,0.124945843663222
26,0.123498960791316,0.123998960791316
27,0.122876962500994,0.122076962500994
28,0.125082026684323,0.125982026684323
29,0.123987608637545,0.123087608637545
30,0.126029830745888,0.126929830745888
31,0.124457353732085,0.124957353732085
32,0.123983287921261,0.123083287921261
33,0.125533986823745,0.125033986823745
34,0.133583170085499,0.133983170085499
35,0.142651193400337,0.142051193400337
36,0.152873162373627,0.152073162373627
